,filename,caption
0,1000268201_693b08cb0e.jpg,startseq  child in pink dress is climbing up set of stairs in an entry way endseq
1,1001773457_577c3a7d70.jpg,startseq  black dog and spotted dog are fighting endseq
2,1002674143_1b742ab4b8.jpg,startseq  little girl covered in paint sits in front of painted rainbow with her hands in bowl endseq
3,1003163366_44323f5815.jpg,startseq  man lays on bench while his dog sits by him endseq
4,1007129816_e794419615.jpg,startseq  man in an orange hat starring at something endseq
5,1007320043_627395c3d8.jpg,startseq  child playing on rope net endseq
6,1009434119_febe49276a.jpg,startseq  black and white dog is running in grassy garden surrounded by white fence endseq
7,1012212859_01547e3f17.jpg,startseq  dog shakes its head near the shore endseq
8,1015118661_980735411b.jpg,startseq  boy smiles in front of stony wall in city endseq
9,1015584366_dfcec3c85a.jpg,startseq  black dog leaps over log endseq
10,101654506_8eb26cfb60.jpg,startseq  brown and white dog is running through the snow endseq
11,101669240_b2d3e7f17b.jpg,startseq  man in hat is displaying pictures next to skier in blue hat endseq
12,1016887272_03199f49c4.jpg,startseq  collage of one person climbing cliff endseq
13,1019077836_6fc9b15408.jpg,startseq  brown dog chases the water from sprinkler on lawn endseq
14,1019604187_d087bf9a5f.jpg,startseq  dog prepares to catch thrown object in field with nearby cars endseq
15,1020651753_06077ec457.jpg,startseq  black and white dog jumping in the air to get toy endseq
16,1022454332_6af2c1449a.jpg,startseq  child and woman are at waters edge in big city endseq
17,1022454428_b6b660a67b.jpg,startseq  couple and an infant endseq
18,1022975728_75515238d8.jpg,startseq  black dog running in the surf endseq
19,102351840_323e3de834.jpg,startseq  man drilling hole in the ice endseq
20,1024138940_f1fefbdce1.jpg,startseq  two different breeds of brown and white dogs play on the beach endseq
21,102455176_5f8ead62d5.jpg,startseq  man uses ice picks and crampons to scale ice endseq
22,1026685415_0431cbf574.jpg,startseq  black dog carries green toy in his mouth as he walks through the grass endseq
23,1028205764_7e8df9a2ea.jpg,startseq  man and baby are in yellow kayak on water endseq
24,1030985833_b0902ea560.jpg,startseq  black dog and brown dog are jumping up to catch red toy endseq
25,103106960_e8a41d64f8.jpg,startseq  boy with stick kneeling in front of goalie net endseq
26,103195344_5d2dc613a3.jpg,startseq  man in black is sitting next to modern art structure in front of glass building endseq
27,103205630_682ca7285b.jpg,startseq  tent is being set up on the ice endseq
28,1032122270_ea6f0beedb.jpg,startseq  woman crouches near three dogs in field endseq
29,1032460886_4a598ed535.jpg,startseq  man is standing in front of skyscraper endseq
30,1034276567_49bb87c51c.jpg,startseq  boy bites hard into treat while he sits outside endseq
31,104136873_5b5d41be75.jpg,startseq  people sit on the mountainside and check out the view endseq
32,1042020065_fb3d3ba5ba.jpg,startseq  boy in green shirt is looking down at many inflatable boats endseq
33,1042590306_95dea0916c.jpg,startseq  man and woman pose for the camera while another man looks on endseq
34,1045521051_108ebc19be.jpg,startseq  person eats takeout while watching small television endseq
35,1048710776_bb5b0a5c7c.jpg,startseq  couple of several people sitting on ledge overlooking the beach endseq
36,1052358063_eae6744153.jpg,startseq  boy takes jump on his skateboard while another boy with skateboard watches endseq
37,105342180_4d4a40b47f.jpg,startseq  girl paddling down large river endseq
38,1053804096_ad278b25f1.jpg,startseq  girl in pigtails splashes in the shallow water endseq
39,1055623002_8195a43714.jpg,startseq  group of four children wearing pajamas have pillow fight endseq
40,1055753357_4fa3d8d693.jpg,startseq  two constructions workers sit on beam taking break endseq
41,1056249424_ef2a2e041c.jpg,startseq  the children are playing in the water endseq
42,1056338697_4f7d7ce270.jpg,startseq  blond woman in blue shirt appears to wait for ride endseq
43,1056359656_662cee0814.jpg,startseq  little girl looking at brochure on train rides endseq
44,1056873310_49c665eb22.jpg,startseq  brown dog is running after black dog on rocky shore endseq
45,1057089366_ca83da0877.jpg,startseq  boy descends off the end of high diving board endseq
46,1057210460_09c6f4c6c1.jpg,startseq  guy stands by window taking his overshirt off endseq
47,1057251835_6ded4ada9c.jpg,startseq  lightcolored dog runs on the beach endseq
48,106490881_5a2dd9b7bd.jpg,startseq  boy in his blue swim shorts at the beach endseq
49,106514190_bae200f463.jpg,startseq  hiker standing high on bluff overlooking the mountains below endseq
50,1067180831_a59dc64344.jpg,startseq  black and white dog is attempting to catch yellow and purple object in low cut yard endseq
51,1067675215_7336a694d6.jpg,startseq  man in blue shorts is laying in the street endseq
52,1067790824_f3cc97239b.jpg,startseq  white and black dog and brown dog in sandy terrain endseq
53,1072153132_53d2bb1b60.jpg,startseq  black and white dog catches toy in midair endseq
54,107318069_e9f2ef32de.jpg,startseq  crowd watching air balloons at night endseq
55,1075716537_62105738b4.jpg,startseq  child with helmet on his head rides bike endseq
56,107582366_d86f2d3347.jpg,startseq  group of eight people are gathered around table at night endseq
57,1075867198_27ca2e7efe.jpg,startseq  man in brown shirt and dark shorts plays on the beach with his two black dogs endseq
58,1075881101_d55c46bece.jpg,startseq  boy cleans the bubbles off his face endseq
59,1077546505_a4f6c4daa9.jpg,startseq  boy in blue shorts slides down slide into pool endseq
60,1077931201_1e0bb83105.jpg,startseq  man in wetsuit is throwing baby wearing wetsuit up into the air endseq
61,1079274291_9aaf896cc1.jpg,startseq  little boy sticks his tongue out for the camera another boy looks on endseq
62,10815824_2997e03d76.jpg,startseq  blonde horse and blonde girl in black sweatshirt are staring at fire in barrel endseq
63,1082252566_8c79beef93.jpg,startseq  bulldog endseq
64,1082379191_ec1e53f996.jpg,startseq  lady and man with no shirt sit on dock endseq
65,1084040636_97d9633581.jpg,startseq  closeup of white dog that is laying its head on its paws endseq
66,1084104085_3b06223afe.jpg,startseq  woman in yellow shirt and green shorts is climbing an artificial red wall whilst wearing safety harness endseq
67,1087168168_70280d024a.jpg,startseq  boy is jumping on an inflatable ring and girl is watching him endseq
68,1087539207_9f77ab3aaf.jpg,startseq  family playing on tractor on beautiful day endseq
69,1088767354_2acee738cf.jpg,startseq  woman in red costume to the left of man and woman standing together endseq
70,108898978_7713be88fc.jpg,startseq  skiiers walking up the hill through forest endseq
71,108899015_bf36131a57.jpg,startseq  lone skier is making their way up mountain endseq
72,1089181217_ee1167f7af.jpg,startseq  brown dog running down paved pathway endseq
73,1089755335_0bfbfd30e6.jpg,startseq  mother and children is fishing on boardwalk at night endseq
74,109202756_b97fcdc62c.jpg,startseq  woman dressed in blue jacket and blue jeans rides brown horse near frozen lake and snowcovered mountain endseq
75,109202801_c6381eef15.jpg,startseq  two draft horses pull cart through the snow endseq
76,109260216_85b0be5378.jpg,startseq  person climbing down sheer rock cliff using rope endseq
77,109260218_fca831f933.jpg,startseq  people stand inside rock dome endseq
78,1093716555_801aacef79.jpg,startseq  group of backpackers lay on the dry ground endseq
79,1093737381_b313cd49ff.jpg,startseq  woman in blue dress stands with chalk portrait of two children playing by stream endseq
80,1094462889_f9966dafa6.jpg,startseq  brown dog plays in deep pile of snow endseq
81,1095476286_87d4f8664e.jpg,startseq  boy jumping in fountain endseq
82,1095580424_76f0aa8a3e.jpg,startseq  corgi runs out of tunnel endseq
83,1095590286_c654f7e5a9.jpg,startseq  blond dog and black and white dog run in dirt field endseq
84,1095980313_3c94799968.jpg,startseq  little girl in blue swimsuit is walking along wooden fence next to sandy beach endseq
85,1096097967_ac305887b4.jpg,startseq  black and white dog drinking water from water spray endseq
86,1096165011_cc5eb16aa6.jpg,startseq  boy smiles underwater endseq
87,1096395242_fc69f0ae5a.jpg,startseq  boy with toy gun endseq
88,109671650_f7bbc297fa.jpg,startseq  boy in yellow shorts is standing on top of cliff endseq
89,109738763_90541ef30d.jpg,startseq  person on snowmobile in mid jump endseq
90,109738916_236dc456ac.jpg,startseq  people are riding around on snowmobiles endseq
91,109823394_83fcb735e1.jpg,startseq  three people drive atvs endseq
92,109823395_6fb423a90f.jpg,startseq  four wheeler jumping in an empty field endseq
93,109823397_e35154645f.jpg,startseq  man jumps gin the air while riding an atv endseq
94,1100214449_d10861e633.jpg,startseq  boy in striped shirt is jumping in front of water fountain endseq
95,1104133405_c04a00707f.jpg,startseq  boy carrying soccer ball endseq
96,1105959054_9c3a738096.jpg,startseq  child painting picture endseq
97,110595925_f3395c8bd6.jpg,startseq  cyclist is riding bicycle on curved road up hill endseq
98,1107246521_d16a476380.jpg,startseq  black dog jumping to catch rope toy endseq
99,1107471216_4336c9b328.jpg,startseq  little girl is holding cine camera in front of her face endseq
100,1110208841_5bb6806afe.jpg,startseq  black and white border collie catches frisbee in front of an audience endseq
101,1112212364_0c48235fc2.jpg,startseq  baby is sitting on and playing with smooth rocks endseq
102,111497985_38e9f88856.jpg,startseq  kid rock climbing against the backdrop of green valley endseq
103,111537217_082a4ba060.jpg,startseq  man climbing rock wall endseq
104,111537222_07e56d5a30.jpg,startseq  climber wearing blue helmet and headlamp is attached to rope on the rock face endseq
105,1115565519_d976d4b1f1.jpg,startseq  child playing with fountain at the beach endseq
106,1115679311_245eff2f4b.jpg,startseq  black dog is jumping over log along beach endseq
107,111766423_4522d36e56.jpg,startseq  black and white bird eating seeds out of someone hand endseq
108,1117972841_2b9261f95f.jpg,startseq  brown dog is running in the sand endseq
109,1118557877_736f339752.jpg,startseq  little boy stands in the surf endseq
110,1119015538_e8e796281e.jpg,startseq  little tan dog with large ears running through the grass endseq
111,1119418776_58e4b93eac.jpg,startseq  black and white dog is running through the field endseq
112,1119463452_69d4eecd08.jpg,startseq  girl in pink swimsuit in pool endseq
113,1121416483_c7902d0d49.jpg,startseq  child is standing on her head endseq
114,112178718_87270d9b4d.jpg,startseq  guy stands in the sand with snowboard behind him endseq
115,112243673_fd68255217.jpg,startseq  people on atvs and dirt bikes are traveling along worn path in field surrounded by trees endseq
116,1122944218_8eb3607403.jpg,startseq  baby in white garment holds flag with crescent moon and star endseq
117,1124448967_2221af8dc5.jpg,startseq  half naked man is sleeping on his chair outdoors endseq
118,1129704496_4a61441f2c.jpg,startseq  brown and white and black and white dog hauling in floating toy from the ocean endseq
119,1130017585_1a219257ac.jpg,startseq  there are three young people endseq
120,1130369873_d80a1aa59c.jpg,startseq  brown dog is running through neckdeep water carrying tennis ball endseq
121,1130401779_8c30182e3e.jpg,startseq  two brown dogs are creating large splashes as they run in river endseq
122,1131155939_b4b457b05e.jpg,startseq  black dog runs into the ocean next to pile of seaweed endseq
123,1131340021_83f46b150a.jpg,startseq  young boy runs while wearing sandals endseq
124,1131800850_89c7ffd477.jpg,startseq  brown and white dog stands outside while it snows endseq
125,1131804997_177c3c0640.jpg,startseq  two men are sitting on the ground and going through their backpacks endseq
126,1131932671_c8d17751b3.jpg,startseq  boy is jumping on bed endseq
127,1132772170_600610c5df.jpg,startseq  child leaping from bed to bed behind the back of man endseq
128,113678030_87a6a6e42e.jpg,startseq  snowboarder sits on slope with skiers and boarders nearby endseq
129,1138784872_69ade3f2ab.jpg,startseq  girl in green walks down city street endseq
130,114051287_dd85625a04.jpg,startseq  boy dressed in soccer attire and holding his shoes getting out of car endseq
131,1141718391_24164bf1b1.jpg,startseq  bridge through high green plants endseq
132,1141739219_2c47195e4c.jpg,startseq  family gathered at painted van endseq
133,1142283988_6b227c5231.jpg,startseq  blond woman poses with person in pink costume endseq
134,1142847777_2a0c1c2551.jpg,startseq  bicyclist riding on city street endseq
135,1143373711_2e90b7b799.jpg,startseq  bicycle rider is crossing street endseq
136,1143882946_1898d2eeb9.jpg,startseq  lady wearing helmet holding bike endseq
137,1144288288_e5c9558b6a.jpg,startseq  man in shorts is jogging along street with headset endseq
138,1148238960_f8cacec2fc.jpg,startseq  bicyclists are standing at an intersection endseq
139,1149179852_acad4d7300.jpg,startseq  man without shirt on is guiding large brown horse pulling green and yellow wagon endseq
140,114949897_490ca7eaec.jpg,startseq  boy hits ball off of tee ball into to net endseq
141,1151466868_3bc4d9580b.jpg,startseq  small girl spins in the waves in the bright sun endseq
142,1153704539_542f7aa3a5.jpg,startseq  girl playing trumpet in marching band endseq
143,1155138244_859fd6e079.jpg,startseq  girl hands out starbucks samples at street fair endseq
144,115684808_cb01227802.jpg,startseq  three men are setting up sledge on snowy plain endseq
145,1159574340_99ba8c3c59.jpg,startseq  child jumping into lake in wooded area while another child plays on the shore endseq
146,1160034462_16b38174fe.jpg,startseq  elderly man in straw hat is sitting on bench endseq
147,1160441615_fe6b3c5277.jpg,startseq  three girls are walking across bridge covered with wood and surrounded by trees endseq
148,1163282319_b729b24c46.jpg,startseq  girl dressed in red top endseq
149,116409198_0fe0c94f3b.jpg,startseq  man eats near tent in the snow endseq
150,1164131282_b30926f332.jpg,startseq  grey dog beside black and white dog running in green grass endseq
151,1164765687_7aca07bbe7.jpg,startseq  man in red shirt and glasses is bending down towards small dog on blanket with several stuffed animals endseq
152,1167662968_e466f1e80a.jpg,startseq  guy with nose piercing endseq
153,1167669558_87a8a467d6.jpg,startseq  man in yellow grimaces endseq
154,1167908324_8caab45e15.jpg,startseq  man is standing by group of video games in bar endseq
155,1169307342_e7a4685a5c.jpg,startseq  big brown dog plays with smaller grey dog on the grass endseq
156,1174525839_7c1e6cfa86.jpg,startseq  girl in blue is jumping on the shore as small waves approach her endseq
157,1174629344_a2e1a2bdbf.jpg,startseq  crowd of people walk down busy sidewalk endseq
158,1176580356_9810d877bf.jpg,startseq  big dog catches ball on his nose endseq
159,1177994172_10d143cb8d.jpg,startseq  two blonde boys endseq
160,1178705300_c224d9a4f1.jpg,startseq  brown dog jumping into pool after bloe ball endseq
161,118187095_d422383c81.jpg,startseq  parents are pushing little children in red car carts endseq
162,118309463_a532b75be9.jpg,startseq  boys baseball team wear their uniforms endseq
163,1184967930_9e29ce380d.jpg,startseq  brown dog running through the grass and flowers endseq
164,1187435567_18173c148b.jpg,startseq  small brown and black dog endseq
165,1187593464_ce862352c6.jpg,startseq  big tan dog runs on grass with big stick in his mouth endseq
166,1189977786_4f5aaed773.jpg,startseq  dog jumping into swimming pool endseq
167,1191338263_a4fa073154.jpg,startseq  little old lady sitting next to an advertisement endseq
168,1193116658_c0161c35b5.jpg,startseq  girl rides unicycle as another rides scooter next to her endseq
169,119534510_d52b3781a3.jpg,startseq  man in brown shirt sitting on dock and reading endseq
170,1197800988_7fb0ca4888.jpg,startseq  person sits at table behind tree endseq
171,1198194316_543cc7b945.jpg,startseq  couple walking along on sidewalk endseq
172,1204996216_71d7519d9a.jpg,startseq  boy lays on picnic table bench endseq
173,1206506157_c7956accd5.jpg,startseq  dogs fight in grass over toy endseq
174,1207159468_425b902bfb.jpg,startseq  boy and person suspended above dome structure endseq
175,1211015912_9f3ee3a995.jpg,startseq  girl in brown dress surrounded by children closes her eyes endseq
176,1213336750_2269b51397.jpg,startseq  man in black jacket is taking photo of man in red jacket endseq
177,1215334959_b1970965f7.jpg,startseq  family sits on bench near beach endseq
178,121800200_bef08fae5f.jpg,startseq  group of climbers begin up sheer rock face endseq
179,121971540_0a986ee176.jpg,startseq  two men cleaning the outside windows of yacht endseq
180,1220401002_3f44b1f3f7.jpg,startseq  two children are laughing in the grass endseq
181,1222322358_225067636e.jpg,startseq  boy in red and white shirt is on swing endseq
182,1224851143_33bcdd299c.jpg,startseq  boy eats with spoon endseq
183,1225443522_1633e7121f.jpg,startseq  girl walking alone at night on street endseq
184,1227655020_b11a1bb112.jpg,startseq  black dog and brown dog playing in tall weeds endseq
185,1229756013_94663527d7.jpg,startseq  brown dog jumping in the air on brown plain endseq
186,1231229740_8dcbf80bfb.jpg,startseq  child in gray clothes is sleeping on red cushion endseq
187,1232148178_4f45cc3284.jpg,startseq  baby girl playing at park endseq
188,1234293791_6566284bcd.jpg,startseq  girl in helmet rides horse endseq
189,1234817607_924893f6e1.jpg,startseq  korean man sells soda endseq
190,1235580648_7eebaed9bc.jpg,startseq  the hatted males pose for picture endseq
191,1235681222_819231767a.jpg,startseq  person in blue shirt sits behind two people sitting on wood bench endseq
192,1235685934_be89b231fb.jpg,startseq  man in sunglasses on an overpass endseq
